id,arquivo_versao,formato_duracao,gancho_literal,promessa_literal,prova_utilizada,oferta_preco_frete,cta,url_destino,direitos_imagem_voz,congruencia_pagina,status_revisao,gasto_brl,pedidos_aprovados,receita_brl,reembolsos_brl,observacoes
C01,NÃO LOCALIZADO,,,,,,,,,,NÃO ANALISADO,,,,,Nenhum arquivo, versão, canal ou destino que identifique C01 foi localizado.
C02,NÃO LOCALIZADO,,,,,,,,,,NÃO ANALISADO,,,,,Nenhum arquivo, versão, canal ou destino que identifique C02 foi localizado.
C03,NÃO LOCALIZADO,,,,,,,,,,NÃO ANALISADO,,,,,Nenhum arquivo, versão, canal ou destino que identifique C03 foi localizado.
C04,NÃO LOCALIZADO,,,,,,,,,,NÃO ANALISADO,,,,,Nenhum arquivo, versão, canal ou destino que identifique C04 foi localizado.
C05,NÃO LOCALIZADO,,,,,,,,,,NÃO ANALISADO,,,,,Nenhum arquivo, versão, canal ou destino que identifique C05 foi localizado.
C06,NÃO LOCALIZADO,,,,,,,,,,NÃO ANALISADO,,,,,Nenhum arquivo, versão, canal ou destino que identifique C06 foi localizado.
C07,NÃO LOCALIZADO,,,,,,,,,,NÃO ANALISADO,,,,,Nenhum arquivo, versão, canal ou destino que identifique C07 foi localizado.
C08,NÃO LOCALIZADO,,,,,,,,,,NÃO ANALISADO,,,,,Nenhum arquivo, versão, canal ou destino que identifique C08 foi localizado.
C09,NÃO LOCALIZADO,,,,,,,,,,NÃO ANALISADO,,,,,Nenhum arquivo, versão, canal ou destino que identifique C09 foi localizado.
C10,NÃO LOCALIZADO,,,,,,,,,,NÃO ANALISADO,,,,,Nenhum arquivo, versão, canal ou destino que identifique C10 foi localizado.
